"","logFC","logCPM","LR","PValue","FDR"
"1356",2.02981707735635,5.34868593574594,39.247378683795,3.73369297724708e-10,5.58075089309121e-06
"960",2.02474566682403,5.7603682937567,32.4588851001551,1.2174107274116e-08,9.09831907131062e-05
"5920",1.13308368954844,3.33478571047569,28.7633046836194,8.17861289346904e-08,0.000343398546885345
"10437",1.65521792088831,2.20846190313379,28.4638936924999,9.54622439191306e-08,0.000343398546885345
"7098",1.03288412074161,1.68211071431898,27.8942289915359,1.28131360797084e-07,0.000343398546885345
"929",1.58509045393563,3.42978893469204,27.7528290370702,1.37846476303745e-07,0.000343398546885345
"117248",0.891346456890097,6.14104310169023,27.2007092615149,1.83391385045012e-07,0.000391593004609685
"12",3.11404705027958,5.99893293231166,26.2057970963134,3.06899833129439e-07,0.000573403975723215
"2846",1.41639856963488,0.301401447169637,25.8467873889709,3.69619369572861e-07,0.000613855635222839
"1536",1.15683031231988,4.85999725129704,24.9459793671226,5.89593589929993e-07,0.000881265538868361
"2209",1.61371835893671,2.9629055154677,23.5842218491798,1.19563903700272e-06,0.00159613489551902
"58475",1.61256174668245,2.63925217766089,23.3336616642434,1.3619547075584e-06,0.00159613489551902
"358",1.00733713503985,6.76769101448355,23.2969191122313,1.38822196037648e-06,0.00159613489551902
"6347",2.42095814949003,1.63072517102984,23.1043721361302,1.53441397334876e-06,0.00163820611854599
"721",1.55113040501759,3.05736939939859,22.9439688207506,1.66792694869172e-06,0.00166203360680635
"5724",1.43438852285086,1.00432522436487,22.5702524094037,2.02597448747019e-06,0.00189264004151355
"7046",0.992996159597352,5.35834243856452,21.8708978654151,2.916232361356e-06,0.00234963911979533
"1230",1.40422080292289,1.50384281125314,21.8330968718015,2.97425184645148e-06,0.00234963911979533
"25932",1.04025601674359,7.23988464217721,21.7664225063288,3.07942563464368e-06,0.00234963911979533
"284",1.01250470457606,3.02370855234358,21.7103351000292,3.17078403730624e-06,0.00234963911979533
"2207",1.34575765142827,2.49076820820261,21.6330407782773,3.30115886236046e-06,0.00234963911979533
"151011",0.740819666290408,4.43856496697411,21.0716717807931,4.42420549217177e-06,0.00290139026251468
"11037",1.387196608948,1.75480368671243,21.0542678080513,4.46457322792785e-06,0.00290139026251468
"720",1.5159446654566,7.586661403445,20.3346193747762,6.50135737386952e-06,0.00404899119446782
"5376",0.66241214022213,6.35750031065649,20.015208422722,7.68286823402947e-06,0.00446341445949521
"64114",0.868684390800838,6.31285559576544,19.995116952589,7.76401792646521e-06,0.00446341445949521
"54149",0.82354523516891,5.5699118026386,19.6118484898958,9.48789868304952e-06,0.00507973169775674
"85477",1.82830635686623,3.9054042217547,19.6062404608216,9.51578828776268e-06,0.00507973169775674
"2670",1.10167799054259,12.0304418307919,18.8033023803542,1.44915986931863e-05,0.00738083624974619
"10875",1.21595402543692,3.48781091174299,18.7613359605426,1.48140153537423e-05,0.00738083624974619
